epoch,step,train_loss
9,99,322.66204833984375
19,199,303.60858154296875
29,299,305.35302734375
39,399,297.1295166015625
49,499,298.84576416015625
59,599,297.61029052734375
69,699,300.7389831542969
79,799,301.151123046875
89,899,300.935546875
99,999,298.0249938964844
