epoch,step,train_loss
9,99,348.5878601074219
19,199,306.27716064453125
29,299,302.26202392578125
39,399,300.36871337890625
49,499,301.81610107421875
59,599,294.496826171875
69,699,300.6190185546875
79,799,306.42901611328125
89,899,295.7890319824219
99,999,293.5921630859375
