epoch,step,train_loss
9,99,324.490234375
19,199,305.299072265625
29,299,312.53765869140625
39,399,301.06353759765625
49,499,309.7866516113281
59,599,308.35321044921875
69,699,302.4490051269531
79,799,301.87884521484375
89,899,297.08502197265625
99,999,303.00433349609375
