step,train_loss,epoch
99,234.00677490234375,9
199,220.04449462890625,19
299,222.523193359375,29
399,222.5907745361328,39
499,214.03530883789062,49
599,229.43341064453125,59
699,220.61293029785156,69
799,236.73626708984375,79
899,214.7708282470703,89
999,238.095947265625,99
