epoch,train_loss,step
9,231.07122802734375,99
19,216.9868927001953,199
29,221.2994842529297,299
39,232.67929077148438,399
49,219.67576599121094,499
59,220.49761962890625,599
69,237.6614532470703,699
79,241.7928924560547,799
89,235.24307250976562,899
99,231.74832153320312,999
